,occupation,gender,employee_new,year
5808,"Management, business, and financial operations occupations",Men,2248000,2016
5809,Professional and related occupations,Men,480000,2016
5810,Protective service occupations,Men,37000,2016
5811,"Service occupations, except protective",Men,235000,2016
5812,Sales and related occupations,Men,1161000,2016
5813,Office and administrative support occupations,Men,429000,2016
5814,"Farming, fishing, and forestry occupations",Men,0,2016
5815,Construction and extraction occupations,Men,50000,2016
5816,"Installation, maintenance, and repair occupations",Men,197000,2016
5817,Production occupations,Men,26000,2016
5818,Transportation and material moving occupations,Men,105000,2016
5819,"Management, business, and financial operations occupations",Men,2596000,2016
5820,Professional and related occupations,Men,3826000,2016
5821,Protective service occupations,Men,452000,2016
5822,"Service occupations, except protective",Men,1783000,2016
5823,Sales and related occupations,Men,312000,2016
5824,Office and administrative support occupations,Men,557000,2016
5825,"Farming, fishing, and forestry occupations",Men,16000,2016
5826,Construction and extraction occupations,Men,160000,2016
5827,"Installation, maintenance, and repair occupations",Men,285000,2016
5828,Production occupations,Men,262000,2016
5829,Transportation and material moving occupations,Men,494000,2016
5830,"Management, business, and financial operations occupations",Men,1135000,2016
5831,Professional and related occupations,Men,5066000,2016
5832,Protective service occupations,Men,132000,2016
5833,"Service occupations, except protective",Men,1388000,2016
5834,Sales and related occupations,Men,40000,2016
5835,Office and administrative support occupations,Men,383000,2016
5836,"Farming, fishing, and forestry occupations",Men,0,2016
5837,Construction and extraction occupations,Men,80000,2016
5838,"Installation, maintenance, and repair occupations",Men,191000,2016
5839,Production occupations,Men,72000,2016
5840,Transportation and material moving occupations,Men,204000,2016
5841,"Management, business, and financial operations occupations",Men,992000,2016
5842,Professional and related occupations,Men,540000,2016
5843,Protective service occupations,Men,142000,2016
5844,"Service occupations, except protective",Men,4332000,2016
5845,Sales and related occupations,Men,298000,2016
5846,Office and administrative support occupations,Men,207000,2016
5847,"Farming, fishing, and forestry occupations",Men,4000,2016
5848,Construction and extraction occupations,Men,35000,2016
5849,"Installation, maintenance, and repair occupations",Men,108000,2016
5850,Production occupations,Men,65000,2016
5851,Transportation and material moving occupations,Men,282000,2016
5852,"Management, business, and financial operations occupations",Men,318000,2016
5853,Professional and related occupations,Men,559000,2016
5854,Protective service occupations,Men,12000,2016
5855,"Service occupations, except protective",Men,594000,2016
5856,Sales and related occupations,Men,260000,2016
5857,Office and administrative support occupations,Men,66000,2016
5858,"Farming, fishing, and forestry occupations",Men,2000,2016
5859,Construction and extraction occupations,Men,13000,2016
5860,"Installation, maintenance, and repair occupations",Men,1077000,2016
5861,Production occupations,Men,304000,2016
5862,Transportation and material moving occupations,Men,294000,2016
5863,"Management, business, and financial operations occupations",Men,318000,2016
5864,Professional and related occupations,Men,557000,2016
5865,Protective service occupations,Men,12000,2016
5866,"Service occupations, except protective",Men,549000,2016
5867,Sales and related occupations,Men,260000,2016
5868,Office and administrative support occupations,Men,65000,2016
5869,"Farming, fishing, and forestry occupations",Men,2000,2016
5870,Construction and extraction occupations,Men,12000,2016
5871,"Installation, maintenance, and repair occupations",Men,1077000,2016
5872,Production occupations,Men,304000,2016
5873,Transportation and material moving occupations,Men,282000,2016
5874,"Management, business, and financial operations occupations",Men,0,2016
5875,Professional and related occupations,Men,2000,2016
5876,Protective service occupations,Men,0,2016
5877,"Service occupations, except protective",Men,45000,2016
5878,Sales and related occupations,Men,0,2016
5879,Office and administrative support occupations,Men,1000,2016
5880,"Farming, fishing, and forestry occupations",Men,0,2016
5881,Construction and extraction occupations,Men,1000,2016
5882,"Installation, maintenance, and repair occupations",Men,0,2016
5883,Production occupations,Men,0,2016
5884,Transportation and material moving occupations,Men,11000,2016
5885,"Management, business, and financial operations occupations",Men,616000,2016
5886,Professional and related occupations,Men,810000,2016
5887,Protective service occupations,Men,1524000,2016
5888,"Service occupations, except protective",Men,167000,2016
5889,Sales and related occupations,Men,19000,2016
5890,Office and administrative support occupations,Men,266000,2016
5891,"Farming, fishing, and forestry occupations",Men,12000,2016
5892,Construction and extraction occupations,Men,85000,2016
5893,"Installation, maintenance, and repair occupations",Men,127000,2016
5894,Production occupations,Men,56000,2016
5895,Transportation and material moving occupations,Men,78000,2016
5918,"Management, business, and financial operations occupations",Women,281000,2016
5919,Professional and related occupations,Women,16000,2016
5920,Protective service occupations,Women,1000,2016
5921,"Service occupations, except protective",Women,37000,2016
5922,Sales and related occupations,Women,8000,2016
5923,Office and administrative support occupations,Women,74000,2016
5924,"Farming, fishing, and forestry occupations",Women,183000,2016
5925,Construction and extraction occupations,Women,1000,2016
5926,"Installation, maintenance, and repair occupations",Women,0,2016
5927,Production occupations,Women,8000,2016
5928,Transportation and material moving occupations,Women,13000,2016
5929,"Management, business, and financial operations occupations",Women,33000,2016
5930,Professional and related occupations,Women,25000,2016
5931,Protective service occupations,Women,0,2016
5932,"Service occupations, except protective",Women,2000,2016
5933,Sales and related occupations,Women,1000,2016
5934,Office and administrative support occupations,Women,37000,2016
5935,"Farming, fishing, and forestry occupations",Women,0,2016
5936,Construction and extraction occupations,Women,3000,2016
5937,"Installation, maintenance, and repair occupations",Women,0,2016
5938,Production occupations,Women,3000,2016
5939,Transportation and material moving occupations,Women,2000,2016
5940,"Management, business, and financial operations occupations",Women,245000,2016
5941,Professional and related occupations,Women,48000,2016
5942,Protective service occupations,Women,4000,2016
5943,"Service occupations, except protective",Women,10000,2016
5944,Sales and related occupations,Women,20000,2016
5945,Office and administrative support occupations,Women,403000,2016
5946,"Farming, fishing, and forestry occupations",Women,0,2016
5947,Construction and extraction occupations,Women,188000,2016
5948,"Installation, maintenance, and repair occupations",Women,8000,2016
5949,Production occupations,Women,5000,2016
5950,Transportation and material moving occupations,Women,8000,2016
5951,"Management, business, and financial operations occupations",Women,852000,2016
5952,Professional and related occupations,Women,483000,2016
5953,Protective service occupations,Women,4000,2016
5954,"Service occupations, except protective",Women,82000,2016
5955,Sales and related occupations,Women,223000,2016
5956,Office and administrative support occupations,Women,800000,2016
5957,"Farming, fishing, and forestry occupations",Women,32000,2016
5958,Construction and extraction occupations,Women,9000,2016
5959,"Installation, maintenance, and repair occupations",Women,29000,2016
5960,Production occupations,Women,1708000,2016
5961,Transportation and material moving occupations,Women,237000,2016
5962,"Management, business, and financial operations occupations",Women,511000,2016
5963,Professional and related occupations,Women,281000,2016
5964,Protective service occupations,Women,2000,2016
5965,"Service occupations, except protective",Women,28000,2016
5966,Sales and related occupations,Women,87000,2016
5967,Office and administrative support occupations,Women,497000,2016
5968,"Farming, fishing, and forestry occupations",Women,0,2016
5969,Construction and extraction occupations,Women,5000,2016
5970,"Installation, maintenance, and repair occupations",Women,22000,2016
5971,Production occupations,Women,872000,2016
5972,Transportation and material moving occupations,Women,112000,2016
5973,"Management, business, and financial operations occupations",Women,341000,2016
5974,Professional and related occupations,Women,202000,2016
5975,Protective service occupations,Women,2000,2016
5976,"Service occupations, except protective",Women,54000,2016
5977,Sales and related occupations,Women,136000,2016
5978,Office and administrative support occupations,Women,303000,2016
5979,"Farming, fishing, and forestry occupations",Women,31000,2016
5980,Construction and extraction occupations,Women,4000,2016
5981,"Installation, maintenance, and repair occupations",Women,7000,2016
5982,Production occupations,Women,836000,2016
5983,Transportation and material moving occupations,Women,126000,2016
5984,"Management, business, and financial operations occupations",Women,670000,2016
5985,Professional and related occupations,Women,632000,2016
5986,Protective service occupations,Women,16000,2016
5987,"Service occupations, except protective",Women,371000,2016
5988,Sales and related occupations,Women,4990000,2016
5989,Office and administrative support occupations,Women,1788000,2016
5990,"Farming, fishing, and forestry occupations",Women,19000,2016
5991,Construction and extraction occupations,Women,6000,2016
5992,"Installation, maintenance, and repair occupations",Women,27000,2016
5993,Production occupations,Women,180000,2016
5994,Transportation and material moving occupations,Women,308000,2016
5995,"Management, business, and financial operations occupations",Women,194000,2016
5996,Professional and related occupations,Women,50000,2016
5997,Protective service occupations,Women,0,2016
5998,"Service occupations, except protective",Women,16000,2016
5999,Sales and related occupations,Women,348000,2016
6000,Office and administrative support occupations,Women,337000,2016
6001,"Farming, fishing, and forestry occupations",Women,16000,2016
6002,Construction and extraction occupations,Women,0,2016
6003,"Installation, maintenance, and repair occupations",Women,5000,2016
6004,Production occupations,Women,30000,2016
6005,Transportation and material moving occupations,Women,77000,2016
6006,"Management, business, and financial operations occupations",Women,475000,2016
6007,Professional and related occupations,Women,581000,2016
6008,Protective service occupations,Women,16000,2016
6009,"Service occupations, except protective",Women,355000,2016
6010,Sales and related occupations,Women,4643000,2016
6011,Office and administrative support occupations,Women,1450000,2016
6012,"Farming, fishing, and forestry occupations",Women,3000,2016
6013,Construction and extraction occupations,Women,5000,2016
6014,"Installation, maintenance, and repair occupations",Women,22000,2016
6015,Production occupations,Women,149000,2016
6016,Transportation and material moving occupations,Women,231000,2016
6017,"Management, business, and financial operations occupations",Women,269000,2016
6018,Professional and related occupations,Women,81000,2016
6019,Protective service occupations,Women,8000,2016
6020,"Service occupations, except protective",Women,52000,2016
6021,Sales and related occupations,Women,33000,2016
6022,Office and administrative support occupations,Women,810000,2016
6023,"Farming, fishing, and forestry occupations",Women,0,2016
6024,Construction and extraction occupations,Women,8000,2016
6025,"Installation, maintenance, and repair occupations",Women,12000,2016
6026,Production occupations,Women,55000,2016
6027,Transportation and material moving occupations,Women,557000,2016
6028,"Management, business, and financial operations occupations",Women,264000,2016
6029,Professional and related occupations,Women,390000,2016
6030,Protective service occupations,Women,3000,2016
6031,"Service occupations, except protective",Women,40000,2016
6032,Sales and related occupations,Women,139000,2016
6033,Office and administrative support occupations,Women,279000,2016
6034,"Farming, fishing, and forestry occupations",Women,0,2016
6035,Construction and extraction occupations,Women,2000,2016
6036,"Installation, maintenance, and repair occupations",Women,23000,2016
6037,Production occupations,Women,6000,2016
6038,Transportation and material moving occupations,Women,14000,2016
6039,"Management, business, and financial operations occupations",Women,2066000,2016
6040,Professional and related occupations,Women,376000,2016
6041,Protective service occupations,Women,31000,2016
6042,"Service occupations, except protective",Women,98000,2016
6043,Sales and related occupations,Women,1077000,2016
6044,Office and administrative support occupations,Women,1750000,2016
6045,"Farming, fishing, and forestry occupations",Women,1000,2016
6046,Construction and extraction occupations,Women,1000,2016
6047,"Installation, maintenance, and repair occupations",Women,8000,2016
6048,Production occupations,Women,16000,2016
6049,Transportation and material moving occupations,Women,13000,2016
6050,"Management, business, and financial operations occupations",Women,2049000,2016
6051,Professional and related occupations,Women,2113000,2016
6052,Protective service occupations,Women,127000,2016
6053,"Service occupations, except protective",Women,1042000,2016
6054,Sales and related occupations,Women,292000,2016
6055,Office and administrative support occupations,Women,1751000,2016
6056,"Farming, fishing, and forestry occupations",Women,2000,2016
6057,Construction and extraction occupations,Women,7000,2016
6058,"Installation, maintenance, and repair occupations",Women,14000,2016
6059,Production occupations,Women,87000,2016
6060,Transportation and material moving occupations,Women,97000,2016
6061,"Management, business, and financial operations occupations",Women,2180000,2016
6062,Professional and related occupations,Women,13789000,2016
6063,Protective service occupations,Women,73000,2016
6064,"Service occupations, except protective",Women,5977000,2016
6065,Sales and related occupations,Women,81000,2016
6066,Office and administrative support occupations,Women,3164000,2016
6067,"Farming, fishing, and forestry occupations",Women,1000,2016
6068,Construction and extraction occupations,Women,4000,2016
6069,"Installation, maintenance, and repair occupations",Women,20000,2016
6070,Production occupations,Women,99000,2016
6071,Transportation and material moving occupations,Women,185000,2016
6072,"Management, business, and financial operations occupations",Women,898000,2016
6073,Professional and related occupations,Women,414000,2016
6074,Protective service occupations,Women,64000,2016
6075,"Service occupations, except protective",Women,4418000,2016
6076,Sales and related occupations,Women,781000,2016
6077,Office and administrative support occupations,Women,477000,2016
6078,"Farming, fishing, and forestry occupations",Women,1000,2016
6079,Construction and extraction occupations,Women,3000,2016
6080,"Installation, maintenance, and repair occupations",Women,6000,2016
6081,Production occupations,Women,69000,2016
6082,Transportation and material moving occupations,Women,58000,2016
6083,"Management, business, and financial operations occupations",Women,426000,2016
6084,Professional and related occupations,Women,401000,2016
6085,Protective service occupations,Women,7000,2016
6086,"Service occupations, except protective",Women,2170000,2016
6087,Sales and related occupations,Women,98000,2016
6088,Office and administrative support occupations,Women,524000,2016
6089,"Farming, fishing, and forestry occupations",Women,0,2016
6090,Construction and extraction occupations,Women,2000,2016
6091,"Installation, maintenance, and repair occupations",Women,26000,2016
6092,Production occupations,Women,137000,2016
6093,Transportation and material moving occupations,Women,30000,2016
6094,"Management, business, and financial operations occupations",Women,422000,2016
6095,Professional and related occupations,Women,397000,2016
6096,Protective service occupations,Women,7000,2016
6097,"Service occupations, except protective",Women,1518000,2016
6098,Sales and related occupations,Women,98000,2016
6099,Office and administrative support occupations,Women,522000,2016
6100,"Farming, fishing, and forestry occupations",Women,0,2016
6101,Construction and extraction occupations,Women,2000,2016
6102,"Installation, maintenance, and repair occupations",Women,26000,2016
6103,Production occupations,Women,136000,2016
6104,Transportation and material moving occupations,Women,29000,2016
6105,"Management, business, and financial operations occupations",Women,4000,2016
6106,Professional and related occupations,Women,4000,2016
6107,Protective service occupations,Women,0,2016
6108,"Service occupations, except protective",Women,652000,2016
6109,Sales and related occupations,Women,0,2016
6110,Office and administrative support occupations,Women,2000,2016
6111,"Farming, fishing, and forestry occupations",Women,0,2016
6112,Construction and extraction occupations,Women,0,2016
6113,"Installation, maintenance, and repair occupations",Women,0,2016
6114,Production occupations,Women,1000,2016
6115,Transportation and material moving occupations,Women,1000,2016
6116,"Management, business, and financial operations occupations",Women,689000,2016
6117,Professional and related occupations,Women,905000,2016
6118,Protective service occupations,Women,355000,2016
6119,"Service occupations, except protective",Women,195000,2016
6120,Sales and related occupations,Women,19000,2016
6121,Office and administrative support occupations,Women,898000,2016
6122,"Farming, fishing, and forestry occupations",Women,6000,2016
6123,Construction and extraction occupations,Women,3000,2016
6124,"Installation, maintenance, and repair occupations",Women,3000,2016
6125,Production occupations,Women,13000,2016
6126,Transportation and material moving occupations,Women,10000,2016
7051,"Management, business, and financial operations occupations",Men,824000,2015
7052,Professional and related occupations,Men,34000,2015
7053,Protective service occupations,Men,16000,2015
7054,"Service occupations, except protective",Men,58000,2015
7055,Sales and related occupations,Men,8000,2015
7056,Office and administrative support occupations,Men,11000,2015
7057,"Farming, fishing, and forestry occupations",Men,719000,2015
7058,Construction and extraction occupations,Men,14000,2015
7059,"Installation, maintenance, and repair occupations",Men,31000,2015
7060,Production occupations,Men,24000,2015
7061,Transportation and material moving occupations,Men,86000,2015
7062,"Management, business, and financial operations occupations",Men,108000,2015
7063,Professional and related occupations,Men,130000,2015
7064,Protective service occupations,Men,2000,2015
7065,"Service occupations, except protective",Men,4000,2015
7066,Sales and related occupations,Men,12000,2015
7067,Office and administrative support occupations,Men,27000,2015
7068,"Farming, fishing, and forestry occupations",Men,1000,2015
7069,Construction and extraction occupations,Men,284000,2015
7070,"Installation, maintenance, and repair occupations",Men,72000,2015
7071,Production occupations,Men,60000,2015
7072,Transportation and material moving occupations,Men,98000,2015
7073,"Management, business, and financial operations occupations",Men,1517000,2015
7074,Professional and related occupations,Men,199000,2015
7075,Protective service occupations,Men,7000,2015
7076,"Service occupations, except protective",Men,33000,2015
7077,Sales and related occupations,Men,71000,2015
7078,Office and administrative support occupations,Men,76000,2015
7079,"Farming, fishing, and forestry occupations",Men,4000,2015
7080,Construction and extraction occupations,Men,6191000,2015
7081,"Installation, maintenance, and repair occupations",Men,524000,2015
7082,Production occupations,Men,149000,2015
7083,Transportation and material moving occupations,Men,235000,2015
7084,"Management, business, and financial operations occupations",Men,1777000,2015
7085,Professional and related occupations,Men,1674000,2015
7086,Protective service occupations,Men,22000,2015
7087,"Service occupations, except protective",Men,121000,2015
7088,Sales and related occupations,Men,438000,2015
7089,Office and administrative support occupations,Men,483000,2015
7090,"Farming, fishing, and forestry occupations",Men,27000,2015
7091,Construction and extraction occupations,Men,282000,2015
7092,"Installation, maintenance, and repair occupations",Men,650000,2015
7093,Production occupations,Men,4353000,2015
7094,Transportation and material moving occupations,Men,1055000,2015
7095,"Management, business, and financial operations occupations",Men,1180000,2015
7096,Professional and related occupations,Men,1294000,2015
7097,Protective service occupations,Men,12000,2015
7098,"Service occupations, except protective",Men,63000,2015
7099,Sales and related occupations,Men,270000,2015
7100,Office and administrative support occupations,Men,298000,2015
7101,"Farming, fishing, and forestry occupations",Men,4000,2015
7102,Construction and extraction occupations,Men,231000,2015
7103,"Installation, maintenance, and repair occupations",Men,419000,2015
7104,Production occupations,Men,2961000,2015
7105,Transportation and material moving occupations,Men,593000,2015
7106,"Management, business, and financial operations occupations",Men,597000,2015
7107,Professional and related occupations,Men,379000,2015
7108,Protective service occupations,Men,10000,2015
7109,"Service occupations, except protective",Men,58000,2015
7110,Sales and related occupations,Men,167000,2015
7111,Office and administrative support occupations,Men,185000,2015
7112,"Farming, fishing, and forestry occupations",Men,22000,2015
7113,Construction and extraction occupations,Men,51000,2015
7114,"Installation, maintenance, and repair occupations",Men,231000,2015
7115,Production occupations,Men,1392000,2015
7116,Transportation and material moving occupations,Men,462000,2015
7117,"Management, business, and financial operations occupations",Men,837000,2015
7118,Professional and related occupations,Men,505000,2015
7119,Protective service occupations,Men,51000,2015
7120,"Service occupations, except protective",Men,297000,2015
7121,Sales and related occupations,Men,5171000,2015
7122,Office and administrative support occupations,Men,1477000,2015
7123,"Farming, fishing, and forestry occupations",Men,32000,2015
7124,Construction and extraction occupations,Men,103000,2015
7125,"Installation, maintenance, and repair occupations",Men,744000,2015
7126,Production occupations,Men,380000,2015
7127,Transportation and material moving occupations,Men,1626000,2015
7128,"Management, business, and financial operations occupations",Men,335000,2015
7129,Professional and related occupations,Men,120000,2015
7130,Protective service occupations,Men,5000,2015
7131,"Service occupations, except protective",Men,30000,2015
7132,Sales and related occupations,Men,972000,2015
7133,Office and administrative support occupations,Men,251000,2015
7134,"Farming, fishing, and forestry occupations",Men,26000,2015
7135,Construction and extraction occupations,Men,28000,2015
7136,"Installation, maintenance, and repair occupations",Men,128000,2015
7137,Production occupations,Men,71000,2015
7138,Transportation and material moving occupations,Men,599000,2015
7139,"Management, business, and financial operations occupations",Men,502000,2015
7140,Professional and related occupations,Men,385000,2015
7141,Protective service occupations,Men,47000,2015
7142,"Service occupations, except protective",Men,267000,2015
7143,Sales and related occupations,Men,4200000,2015
7144,Office and administrative support occupations,Men,1225000,2015
7145,"Farming, fishing, and forestry occupations",Men,6000,2015
7146,Construction and extraction occupations,Men,74000,2015
7147,"Installation, maintenance, and repair occupations",Men,616000,2015
7148,Production occupations,Men,309000,2015
7149,Transportation and material moving occupations,Men,1027000,2015
7150,"Management, business, and financial operations occupations",Men,546000,2015
7151,Professional and related occupations,Men,277000,2015
7152,Protective service occupations,Men,22000,2015
7153,"Service occupations, except protective",Men,77000,2015
7154,Sales and related occupations,Men,68000,2015
7155,Office and administrative support occupations,Men,853000,2015
7156,"Farming, fishing, and forestry occupations",Men,4000,2015
7157,Construction and extraction occupations,Men,160000,2015
7158,"Installation, maintenance, and repair occupations",Men,488000,2015
7159,Production occupations,Men,290000,2015
7160,Transportation and material moving occupations,Men,3193000,2015
7161,"Management, business, and financial operations occupations",Men,360000,2015
7162,Professional and related occupations,Men,739000,2015
7163,Protective service occupations,Men,11000,2015
7164,"Service occupations, except protective",Men,38000,2015
7165,Sales and related occupations,Men,186000,2015
7166,Office and administrative support occupations,Men,141000,2015
7167,"Farming, fishing, and forestry occupations",Men,0,2015
7168,Construction and extraction occupations,Men,5000,2015
7169,"Installation, maintenance, and repair occupations",Men,280000,2015
7170,Production occupations,Men,31000,2015
7171,Transportation and material moving occupations,Men,25000,2015
7172,"Management, business, and financial operations occupations",Men,2157000,2015
7173,Professional and related occupations,Men,469000,2015
7174,Protective service occupations,Men,26000,2015
7175,"Service occupations, except protective",Men,219000,2015
7176,Sales and related occupations,Men,1084000,2015
7177,Office and administrative support occupations,Men,422000,2015
7178,"Farming, fishing, and forestry occupations",Men,1000,2015
7179,Construction and extraction occupations,Men,31000,2015
7180,"Installation, maintenance, and repair occupations",Men,209000,2015
7181,Production occupations,Men,24000,2015
7182,Transportation and material moving occupations,Men,99000,2015
7183,"Management, business, and financial operations occupations",Men,2464000,2015
7184,Professional and related occupations,Men,3587000,2015
7185,Protective service occupations,Men,423000,2015
7186,"Service occupations, except protective",Men,1723000,2015
7187,Sales and related occupations,Men,320000,2015
7188,Office and administrative support occupations,Men,537000,2015
7189,"Farming, fishing, and forestry occupations",Men,7000,2015
7190,Construction and extraction occupations,Men,153000,2015
7191,"Installation, maintenance, and repair occupations",Men,277000,2015
7192,Production occupations,Men,277000,2015
7193,Transportation and material moving occupations,Men,492000,2015
7194,"Management, business, and financial operations occupations",Men,1071000,2015
7195,Professional and related occupations,Men,4972000,2015
7196,Protective service occupations,Men,128000,2015
7197,"Service occupations, except protective",Men,1371000,2015
7198,Sales and related occupations,Men,29000,2015
7199,Office and administrative support occupations,Men,397000,2015
7200,"Farming, fishing, and forestry occupations",Men,0,2015
7201,Construction and extraction occupations,Men,82000,2015
7202,"Installation, maintenance, and repair occupations",Men,216000,2015
7203,Production occupations,Men,72000,2015
7204,Transportation and material moving occupations,Men,214000,2015
7205,"Management, business, and financial operations occupations",Men,1030000,2015
7206,Professional and related occupations,Men,505000,2015
7207,Protective service occupations,Men,125000,2015
7208,"Service occupations, except protective",Men,4127000,2015
7209,Sales and related occupations,Men,291000,2015
7210,Office and administrative support occupations,Men,201000,2015
7211,"Farming, fishing, and forestry occupations",Men,3000,2015
7212,Construction and extraction occupations,Men,37000,2015
7213,"Installation, maintenance, and repair occupations",Men,107000,2015
7214,Production occupations,Men,73000,2015
7215,Transportation and material moving occupations,Men,256000,2015
7216,"Management, business, and financial operations occupations",Men,285000,2015
7217,Professional and related occupations,Men,589000,2015
7218,Protective service occupations,Men,11000,2015
7219,"Service occupations, except protective",Men,538000,2015
7220,Sales and related occupations,Men,269000,2015
7221,Office and administrative support occupations,Men,96000,2015
7222,"Farming, fishing, and forestry occupations",Men,2000,2015
7223,Construction and extraction occupations,Men,25000,2015
7224,"Installation, maintenance, and repair occupations",Men,1119000,2015
7225,Production occupations,Men,286000,2015
7226,Transportation and material moving occupations,Men,281000,2015
7227,"Management, business, and financial operations occupations",Men,282000,2015
7228,Professional and related occupations,Men,589000,2015
7229,Protective service occupations,Men,11000,2015
7230,"Service occupations, except protective",Men,494000,2015
7231,Sales and related occupations,Men,268000,2015
7232,Office and administrative support occupations,Men,96000,2015
7233,"Farming, fishing, and forestry occupations",Men,2000,2015
7234,Construction and extraction occupations,Men,24000,2015
7235,"Installation, maintenance, and repair occupations",Men,1119000,2015
7236,Production occupations,Men,286000,2015
7237,Transportation and material moving occupations,Men,271000,2015
7238,"Management, business, and financial operations occupations",Men,3000,2015
7239,Professional and related occupations,Men,0,2015
7240,Protective service occupations,Men,0,2015
7241,"Service occupations, except protective",Men,44000,2015
7242,Sales and related occupations,Men,0,2015
7243,Office and administrative support occupations,Men,0,2015
7244,"Farming, fishing, and forestry occupations",Men,0,2015
7245,Construction and extraction occupations,Men,1000,2015
7246,"Installation, maintenance, and repair occupations",Men,1000,2015
7247,Production occupations,Men,0,2015
7248,Transportation and material moving occupations,Men,9000,2015
7249,"Management, business, and financial operations occupations",Men,612000,2015
7250,Professional and related occupations,Men,821000,2015
7251,Protective service occupations,Men,1600000,2015
7252,"Service occupations, except protective",Men,156000,2015
7253,Sales and related occupations,Men,14000,2015
7254,Office and administrative support occupations,Men,259000,2015
7255,"Farming, fishing, and forestry occupations",Men,14000,2015
7256,Construction and extraction occupations,Men,77000,2015
7257,"Installation, maintenance, and repair occupations",Men,116000,2015
7258,Production occupations,Men,51000,2015
7259,Transportation and material moving occupations,Men,72000,2015
7282,"Management, business, and financial operations occupations",Women,261000,2015
7283,Professional and related occupations,Women,16000,2015
7284,Protective service occupations,Women,2000,2015
7285,"Service occupations, except protective",Women,33000,2015
7286,Sales and related occupations,Women,9000,2015
7287,Office and administrative support occupations,Women,76000,2015
7288,"Farming, fishing, and forestry occupations",Women,184000,2015
7289,Construction and extraction occupations,Women,0,2015
7290,"Installation, maintenance, and repair occupations",Women,0,2015
7291,Production occupations,Women,6000,2015
7292,Transportation and material moving occupations,Women,9000,2015
7293,"Management, business, and financial operations occupations",Women,42000,2015
7294,Professional and related occupations,Women,18000,2015
7295,Protective service occupations,Women,0,2015
7296,"Service occupations, except protective",Women,1000,2015
7297,Sales and related occupations,Women,1000,2015
7298,Office and administrative support occupations,Women,45000,2015
7299,"Farming, fishing, and forestry occupations",Women,0,2015
7300,Construction and extraction occupations,Women,8000,2015
7301,"Installation, maintenance, and repair occupations",Women,1000,2015
7302,Production occupations,Women,1000,2015
7303,Transportation and material moving occupations,Women,2000,2015
7304,"Management, business, and financial operations occupations",Women,244000,2015
7305,Professional and related occupations,Women,38000,2015
7306,Protective service occupations,Women,3000,2015
7307,"Service occupations, except protective",Women,6000,2015
7308,Sales and related occupations,Women,27000,2015
7309,Office and administrative support occupations,Women,433000,2015
7310,"Farming, fishing, and forestry occupations",Women,0,2015
7311,Construction and extraction occupations,Women,155000,2015
7312,"Installation, maintenance, and repair occupations",Women,10000,2015
7313,Production occupations,Women,4000,2015
7314,Transportation and material moving occupations,Women,9000,2015
7315,"Management, business, and financial operations occupations",Women,842000,2015
7316,Professional and related occupations,Women,506000,2015
7317,Protective service occupations,Women,8000,2015
7318,"Service occupations, except protective",Women,72000,2015
7319,Sales and related occupations,Women,225000,2015
7320,Office and administrative support occupations,Women,798000,2015
7321,"Farming, fishing, and forestry occupations",Women,28000,2015
7322,Construction and extraction occupations,Women,12000,2015
7323,"Installation, maintenance, and repair occupations",Women,30000,2015
7324,Production occupations,Women,1719000,2015
7325,Transportation and material moving occupations,Women,216000,2015
7326,"Management, business, and financial operations occupations",Women,494000,2015
7327,Professional and related occupations,Women,271000,2015
7328,Protective service occupations,Women,4000,2015
7329,"Service occupations, except protective",Women,25000,2015
7330,Sales and related occupations,Women,87000,2015
7331,Office and administrative support occupations,Women,479000,2015
7332,"Farming, fishing, and forestry occupations",Women,0,2015
7333,Construction and extraction occupations,Women,8000,2015
7334,"Installation, maintenance, and repair occupations",Women,17000,2015
7335,Production occupations,Women,893000,2015
7336,Transportation and material moving occupations,Women,105000,2015
7337,"Management, business, and financial operations occupations",Women,349000,2015
7338,Professional and related occupations,Women,235000,2015
7339,Protective service occupations,Women,3000,2015
7340,"Service occupations, except protective",Women,47000,2015
7341,Sales and related occupations,Women,138000,2015
7342,Office and administrative support occupations,Women,319000,2015
7343,"Farming, fishing, and forestry occupations",Women,28000,2015
7344,Construction and extraction occupations,Women,4000,2015
7345,"Installation, maintenance, and repair occupations",Women,12000,2015
7346,Production occupations,Women,826000,2015
7347,Transportation and material moving occupations,Women,110000,2015
7348,"Management, business, and financial operations occupations",Women,607000,2015
7349,Professional and related occupations,Women,602000,2015
7350,Protective service occupations,Women,26000,2015
7351,"Service occupations, except protective",Women,398000,2015
7352,Sales and related occupations,Women,5005000,2015
7353,Office and administrative support occupations,Women,1843000,2015
7354,"Farming, fishing, and forestry occupations",Women,31000,2015
7355,Construction and extraction occupations,Women,3000,2015
7356,"Installation, maintenance, and repair occupations",Women,27000,2015
7357,Production occupations,Women,245000,2015
7358,Transportation and material moving occupations,Women,311000,2015
7359,"Management, business, and financial operations occupations",Women,196000,2015
7360,Professional and related occupations,Women,48000,2015
7361,Protective service occupations,Women,1000,2015
7362,"Service occupations, except protective",Women,14000,2015
7363,Sales and related occupations,Women,332000,2015
7364,Office and administrative support occupations,Women,340000,2015
7365,"Farming, fishing, and forestry occupations",Women,26000,2015
7366,Construction and extraction occupations,Women,1000,2015
7367,"Installation, maintenance, and repair occupations",Women,2000,2015
7368,Production occupations,Women,38000,2015
7369,Transportation and material moving occupations,Women,73000,2015
7370,"Management, business, and financial operations occupations",Women,411000,2015
